Feature1,Feature2
4.73863848974048,5.524504612918444
4.636431412087566,4.876240682224248
4.676713557878736,4.459225998192802
4.699146693885302,5.926139092254469
4.569793317358024,4.807722227885088
5.085432719063971,4.908008331823661
4.722400236653401,5.940578534720295
4.489383591434644,5.354178223649677
5.814307772785646,4.309949270892554
4.618370421728741,4.09755894966774
5.246658950440445,5.092418061847437
4.580391238388681,4.845393812074393
4.7301201598453195,4.610847637298844
4.741194350481914,5.1118939758194495
4.903819517609438,5.150773671166807
5.3955159735215235,4.54530627260263
4.993251387631033,4.47114453552205
4.734749426194736,4.71209087967766
5.183299123048424,4.530060106836323
5.340945744813156,5.923353662868017
5.487559866708875,4.926471309248931
5.165631715701782,5.48777256356118
4.509245674476024,5.231051737131636
4.590889658383264,6.04619363784273
5.27989522396552,5.540390362777311
4.202786170602817,4.700312488523114
4.359847800664553,5.4362286641400726
5.027862456144347,5.547095759235474
4.760412881077355,4.907170511668092
4.779977756651508,5.065370288643046
5.178507742982523,4.653545202369673
4.26070687711008,5.5718770216034645
5.46783919657373,5.63577754749708
4.444712077267086,5.876135221711811
5.1448874284482065,6.03770039932272
5.169248203747207,4.792356043049599
4.459468336200051,5.307967803472132
5.4178460560325705,4.435146572671191
5.652739403577165,5.010501920816379
4.768291153593768,4.767135123214872
5.25751763360433,5.256892975456104
4.770319550229878,4.575077815267604
4.776783192724736,5.097044996449154
5.144584321953909,6.227650069955447
5.343130095187257,4.193642064405174
5.185572936685654,4.698007406642089
5.009209189594776,5.8382186561376415
4.9065641779193205,4.7801344708629125
5.28853606359027,4.898477306978504
5.327182828177029,4.972207664544772
4.735119898116481,5.256633716556678
5.701397155468049,4.29907446860386
5.932887255572378,5.236916460455894
5.01415918806523,5.014878069747873
3.6901274479551276,5.410951252187612
4.966960100676341,4.394491900118772
5.133525132934629,5.444815397811719
4.613105400448213,4.377672648344292
4.945619925771571,5.200855861049471
5.178893680174141,5.280392263184117
4.311165316021454,4.531087480042439
5.095549534009952,5.023218274078074
5.258829510234562,4.637128093423267
5.107046872065102,4.377130610644006
5.204126377857236,4.14870819788108
5.589648592031914,5.033759240705055
4.764034067105284,5.544475298483683
4.468848143136947,5.23679621531759
5.469141902987999,4.741977635891313
4.580139078909612,4.700303677277989
5.006964645956473,4.987937456444999
4.713168996559882,4.726570529379804
5.773752600665031,5.897938836547761
5.206465727137812,4.718137723598012
5.0301151049705135,6.231621056242643
4.703803037880565,4.568004615160092
4.642348145370016,5.339798874467338
4.693605654757807,4.806149220032008
4.446832512996986,4.401896687959665
5.0995298477867355,4.6998915614206025
5.273548690585019,4.898903673783053
4.634816684141431,5.108229294790988
4.686516471106116,5.906224278998464
6.094901466608836,4.595850857322424
5.288278481527883,5.155625077271768
4.5126591648863394,5.393542301871226
4.916440959841573,5.073356843216661
5.406262911197099,5.678120014285412
4.862474151424178,3.8490394176322074
4.2403150170229935,4.757882963566875
5.129861250860741,4.547841687447796
5.533337344794577,5.584647795222836
5.038684153823809,4.569357899335868
4.339883396489679,5.915729382927177
4.875517925760463,5.4857854754771775
5.597523314462421,4.238406547608113
5.142932695362452,5.167228394993512
4.7899065914520715,4.8591076955697465
5.03490104249501,4.80734320156912
5.163066511121059,4.374443211807349
4.538383376944548,4.324157697191833
5.7752502464070385,4.5008229796306045
5.723488942176866,5.098277388255787
4.782751886283842,4.84541393826568
4.993876613576543,4.551372814257085
5.436160318360339,5.091671002869176
5.312833673882503,4.571421221791859
5.536815874929886,4.48674235029447
5.529212243424794,4.120630256788443
4.756196887963753,4.783720906090189
4.681130007874342,4.734501522499091
3.9662789499800617,4.9554399802436055
5.58158187607748,5.0051165305097935
4.723175347326409,4.401061053705575
4.81951691709046,5.579664901682124
5.037902279096863,4.661419144243944
5.162083176244221,4.934928472816158
5.775575987761261,5.057837317146429
4.4813769228367715,4.904830660958196
4.4645537509694435,5.241236207621593
5.1972260711891485,4.789507759589869
5.514577818662822,5.236298741206522
5.816205651965817,4.284929311019684
5.7827620146171705,4.967124869463506
5.5838910308299035,5.127210421650607
5.024260813972414,4.584524941794481
5.161359280169044,4.586384528223839
4.981182648787576,5.551650941008261
4.741355774949814,5.70467372009279
4.877128467957028,4.863638215126165
4.77690828339261,4.055229634527235
4.723888477859514,5.316465908877755
5.168801331037601,4.794061516938767
4.879837300920933,4.812589596225202
5.898843263424761,5.320421430633505
4.711614334715834,5.377695612912878
5.738947022370758,4.740864890863176
4.040614392350479,4.986743062275392
5.113729967302064,5.653571377141214
5.3163909330531425,6.1353464289021975
5.411585291980957,5.036658983594202
4.911526386252976,4.600851377730773
4.576603140965798,4.242576387657068
5.32510058897933,4.9504120681103085
5.236618812286772,4.963585543671564
4.5071369768322285,5.252023257758922
5.600606961081972,4.795962313489224
4.982657556306609,5.11710736626826
4.300716213090429,5.281484618345285
4.661803848970365,5.900470216455408
4.895938874821362,4.753499532670584
5.285445255346583,5.567782820090299
4.924107452482208,5.2941586032422885
5.2649020889576414,5.72078431032895
4.517538269709948,5.343025729999219
4.550792664325821,5.245959585753253
4.6615389998470205,5.305838144420434
4.828642741736616,4.59886136538919
5.291964092662982,4.82035395460647
5.2200072250266665,4.748972887823695
5.14653623664934,4.642824290986816
4.963994939209833,5.501766448946012
4.936041204259617,4.522229779699787
4.982505754751519,5.885400317817755
5.117807279054283,5.385432596943484
5.761562038634828,5.2694550218423295
5.7255718038975205,5.479635413042604
4.292314628974793,4.78967733861732
5.1806978027542065,5.769018283232985
5.014372411467408,5.639225931303649
4.755280278740889,5.522080438534536
4.762527344419522,4.673335383713144
5.295327415346154,5.554351790291454
4.648973453061323,4.836168926701116
4.737739866860113,5.244687280613959
5.321361379933772,5.6645762650662155
4.983436513563102,5.897278931758894
4.712181086881113,5.061004907322681
4.275993049791878,3.900597021689959
4.998198730454716,4.420817655403729
5.097922627548841,4.510813611192484
5.04853877467402,5.484322495266444
5.406758608684835,4.3845678417830225
5.093383382238539,4.622308533823339
5.135228412889919,4.974880945275432
4.595753198553406,4.749121478207732
4.699680655040598,4.854153125103362
